Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA
Operario-a de mantenimiento (molina de segura),Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Camarera-o de pisos hoteles centro de sevilla,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Reposición supermercado 8h semanales,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha
Limpieza centro comercial,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Operario-a de limpieza ejea de los caballeros sustitución de vacaciones 8 al 22 de abril 2025,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,NA
Operario-a de almacén albuixech,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Conserje en albergue nocturno en vic,España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA
Limpiador-a en cornellà,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
Control d’accessos parking de tardes en barcelona,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana
Work-location,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Monitor-a centro interpretación santa cilia (sector publico),Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Mecánico-a diesel y de maquinaria de construcción,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Auxiliar de clinica dental,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha
Auxiliar administrativo,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Ayte camarero sala,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,NA
Auxiliar administrativo-a,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Titulado superior en agronomía,España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA
Work-location,Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
Docente programa experiencial empleo-formación (certificado profesional operaciones aux.…,Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana
Monitor-a deportivo-a (ref. 1893),Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Ayte camarero sala,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Orientadores-as profesionales para la inserción (discapacidad),Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Ayudante de camarero,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha
Work-location,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Work-location,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,NA
Operario para el lavado de vehículos,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Work-location,España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA
Operario-a de lavadero de vehículos (molina de segura),Sevilla - Andalucia - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
Camarero-a (ref.: 2298),Valencia - Comunidad Valenciana - España,04/04/2025,14.000 - 17.999,Sin estudios,14000-17999,14000,17999,16,SI,Comunidad Valenciana
"Dependientes de comercio, en general",Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Técnico en control y vigilancia de obras,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Work-location,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Fisioterapeuta,Albacete - Castilla la Mancha - España,04/04/2025,14.000 - 17.999,Enseñanzas de grado medio de formación…,14000-17999,14000,17999,16,SI,Castilla la Mancha
Técnico en prevención de riesgos laborales,Sin Especificar,04/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Peones de la industria metalúrgica y fabricación de productos metálicos,Zaragoza - Aragon - España,04/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,NA
Work-location,Madrid - España,04/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Cocinero-a,España,04/04/2025,45.000 - 48.000,Sin estudios,45000-48000,45000,48000,46,SI,NA
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Delineantes, en general",Las Palmas - Canarias - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Canarias
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Educador-a social,Madrid - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Madrid
Ayudante de cocina (ref.: 2299),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Gerocultor-a,Burgos - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Jardineros, en general",Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Arquitectos técnicos,Sevilla - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Chef especialista de comida hindú.,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Técnico-a asesor-a juridico-a (ref. 042025001892),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares
"Psicólogos, en general",Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Auxiliar de enfermería de geriatría,Madrid - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Madrid
Asesores jurídicos (sector privado),Cadiz - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
Mantenedores de edificios,Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Cuidadores de personas con discapacidad intelectual,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliar administrativo,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Oferta en mula de guía turístico (2388),Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Técnico superior de administración general en recursos humanos,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Mantenedores de edificios,Granada - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Técnico-a en emprendimiento (ref. 2284),Asturias - España,03/04/2025,2.000 - 2.001,Otros tipos de formación,2000-2001,2000,2001,24,SI,Asturias
Camareros de piso (hostelería),Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Técnico-a en operaciones de sistemas informáticos (empleo público),Teruel - Aragon - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Formador-a de formación no reglada ( grupo i). zona de madroñera,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Técnico-a laboratorio de análisis clínicos,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Camarera-o,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Técnico-a laboral (ref. 2296),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Electricista,La Rioja - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,La Rioja
Peluqueros unisex,Lugo - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Cocinero-a - jefe de cocina,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Cocinero-a,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Fisioterapeuta,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Oficial 1ª o 2ª electricista 042025001889,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares
Docente programa experiencial empleo-formación (certificado profesional montaje-mantenimiento…,Murcia - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Murcia
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Personal de limpieza con discapacidad (ref. 2300),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Formadores de formación para el empleo,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Pulidores-abrillantadores de suelos, de terrazo y similares",Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
"Empleados administrativos, en general",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Ingeniero o ingeniera aplicación metering con discapacidad (igual o superior al 33%),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Ordenanzas,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Personal para el montaje y desmontaje de conciertos y festivales,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
2 ayudantes de cocina (ref:2294),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Formadores de formación no reglada,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Ayudante cocina,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Conductor-a-vendedor-a de furgón de helados (ref.: 2297),A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Albañiles,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Informador-a turístico,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Docente de fontanería para centro penitenciario campos del río (ref. 2394),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Oferta 2432 limpiador-a,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Docente programa experiencial empleo-formación (certificad profesional operaciones…,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Diseñador-a gráfico-a multimedia,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Vendedor-a-repartidor-a,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Técnico-a de apoyo en procesos sociolaborales,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Work-location,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Ayte camarero sala,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Ayte camarero sala,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Nutricionista,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Conductor de camión o trailer,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Work-location,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Work-location,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Carniceros para la venta en comercio,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Formador-a especialidades formativas area profesional logistica y transporte (ref. 2281),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Arquitectos técnicos,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
Work-location,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,NA
Terapeutas ocupacionales,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Oficial 1ª alicatador-a (ref: 042025001888),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Técnicos administrativos, en general",Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
