Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA
Oferta publica: tecnico-a especialista patron de barco,Cadiz - Andalucia - España,03/04/2025,2.117,Enseñanzas universitarias de primer…,2117,2117,NA,25,SI,NA
"Back-end developer, republika bulgariya",Bulgaria,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NO,NA
"Big data engineer- data engineer, hibrido",España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Técnico ciberseguridad, hibrido",Pontevedra - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia
"Fullstack developer (java-angular), hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Presales técnico para xdrnet, barcelona",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
"Consultor-a de negocio -sap brim, madrid",Madrid - España,03/04/2025,48.000 - 60.000,Sin estudios,48000-60000,48000,60000,54,SI,Madrid
"Desarrollador php (e-commerce), 100% en remoto",España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Ux designer, barcelona",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Java backend developer senior, 100% en remoto",España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Data architect & analytics, madrid",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Data engineer, madrid",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Software automation, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Test engineer, london",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Sap fico consultant, hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Product owner-business analyst, 100% en remoto",España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
"Senior servicenow configuration manager, gotlands län",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Sc cleared oracle techno functional, london",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Programador-a senior python, hibrido",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Analista-desarrollador, hibrido",Alicante - Comunidad Valenciana - España,03/04/2025,30.000 - 36.000,Sin estudios,30000-36000,30000,36000,33,SI,Comunidad Valenciana
"Programador-a fullstack, 100% en remoto",España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Developer fullstack, hibrido",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Programador full stack proyecto ciam, hibrido",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Cataluña
Ayudante de cocina (ref.:1203),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
"Ap fullstack (java-angular-plsql), málaga",Malaga - Andalucia - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
"Analista programador en php, presencial",Malta,03/04/2025,30.000 - 30.000,Sin estudios,30000-30000,30000,30000,30,NO,NA
"Application architect, london",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Operario-a de calle para manteminiento de bicicletas eléctricas (ref 1762),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Enfermero-a (ref. 34),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Operario-a pintura industrial,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Estudios primarios incompletos,,NA,NA,NA,SI,Cataluña
Técnico-a aa.dd y s.f en vivagym berlin,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
Tècnic-a de selecció i talent,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas universitarias de primer…,,NA,NA,NA,SI,Cataluña
"Business analyst - clm 100% (f-m-d), madrid",Madrid - España,03/04/2025,Sin especificar,Doctorado universitario.,,NA,NA,NA,SI,Madrid
"Full stack .net software engineer f-m-d, madrid",Madrid - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Madrid
"Application 2nd level support 100% f-m-d, madrid",Madrid - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Madrid
Monitores infantiles de sala,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Cataluña
"Devops engineer 100% (f-m-d), madrid",Madrid - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Madrid
"Security assurance analyst, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Identity & access management operation, madrid",Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Técnico-a-a at. sociosanitaria-noche-temporal-leganés,Madrid - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Técnico-a-a at. sociosanitaria-tarde-temporal-leganés,Madrid - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
Instructor de pilates máquina y suelo (ref.: 1875),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Fisioterapeuta,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Comercial de ventas (telemarketing),Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Albañiles,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
"Program manager, hessen",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Pintores y-o empapeladores,Las Palmas - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
Técnico-a superior prevención riesgos laborales (huelva),Huelva - Andalucia - España,03/04/2025,18.000 - 20.999 Primera etapa de educación secundaria…,NA,18000-20999,18000,20999,20,SI,NA
Electromecánicos para montaje de vehículos y robótica (sector defensa),Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Técnico-a aa.dd y s.f en benidorm,Alicante - Comunidad Valenciana - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Comunidad Valenciana
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares
1,Girona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
Monitor-a de suport a llagostera. ref. smntr,Girona - Cataluña - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Cataluña
"Técnico de marketing y comunicación, barcelona",Barcelona - Cataluña - España,03/04/2025,30.000 - 33.000,Otros tipos de formación,30000-33000,30000,33000,32,SI,Cataluña
"Soporte sap fi-co, málaga",Malaga - Andalucia - España,03/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,NA
Educador-a ambiental - balears,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Baleares
Enfermer@ para torremayor .,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura
"Mic senior support, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,NA,NA
Auxiliares de enfermería de geriatría,Sta.cruz de Tenerife - Canarias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Canarias
"Ingeniero-a infraestructura middleware, hibrido",Madrid - España,03/04/2025,Sin especificar,Enseñanzas de grado superior de…,,NA,NA,NA,SI,Madrid
"Recepcionistas en establecimientos distintos de oficinas, en general",Ourense - Galicia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Galicia
Conductor-a de furgoneta recogida muestras clínicas (toledo),Toledo - Castilla la Mancha - España,03/04/2025,6.000,Enseñanzas universitarias oficiales de…,6000,6000,NA,72,SI,Castilla la Mancha
Encofradores huesca y lleida,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Ganaderos.,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Administrativo-a cobros-tesoreria,Huesca - Aragon - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Personal limpieza industrial (nocturno),Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliar administrativo. atención al cliente.,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Oferta 2192-electricista (oficial de 1º) en madrid,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Maquinistas retroexcavadoras, buldócer, trailla-mototrailla (varios puestos)",Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Personal de limpieza industrial (horario nocturno),Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Personal de limpieza (ref. 1949),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Soldadores de hilo,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Electricistas de mantenimiento y reparación-electricistas de fabricación,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
1 ayudante de cocina,Cantabria - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cantabria
Carretillero-operario transpaleta eléctrica (con plataforma),Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Dependientes de recambios y accesorios de automóvil-empleados administrativos comerciales en general,Huesca - Aragon - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,NA
Conductores de camión rutas desde binéfar y-o monzón.,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Operador-a de panel en planta termosolar,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia
Mecánico-electromecánico mantenimiento industrial,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Ingeniero comercial (h-m_dos vacantes),Madrid,03/04/2025,24.000 - 24.000,Enseñanzas universitarias oficiales de…,24000-24000,24000,24000,24,NO,Madrid
Dependiente-camarero en cine (torre outlet),Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Monitor de sala,Las Palmas - Canarias - España,02/04/2025,16.000 - 17.000,Enseñanzas universitarias de grado,16000-17000,16000,17000,16,SI,Canarias
Empleada de hogar,Ceuta - España,02/04/2025,"16.576,00 - 16.576,00",Estudios primarios incompletos,16576.00-16576.00,16576,16576,17,SI,NA
Pastor ovejas,Cuenca - Castilla la Mancha - España,02/04/2025,17.000 - 22.000,Estudios primarios completos,17000-22000,17000,22000,20,SI,Castilla la Mancha
Transportista - montador muebles,Toledo - Castilla la Mancha - España,02/04/2025,20.000 - 20.000,Nivel de estudios desconocido,20000-20000,20000,20000,20,SI,Castilla la Mancha
Responsable de sala,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,Cataluña
Es busca optometrista,Barcelona - Cataluña - España,02/04/2025,15.000 - 30.000,Enseñanzas universitarias de grado,15000-30000,15000,30000,22,SI,Cataluña
Vendedores-as para el sorteo de oro de cruz roja (remunerado),Barcelona - Cataluña - España,02/04/2025,7.200 - 7.200,Sin estudios,7200-7200,7200,7200,7,SI,Cataluña
Personal de vigilancia,Zaragoza - Aragon - España,02/04/2025,20.176 - 20.176,Estudios primarios completos,20176-20176,20176,20176,20,SI,NA
Auxiliar de taller de rotulación,Madrid - España,02/04/2025,16.580 - 16.580,Nivel de estudios desconocido,16580-16580,16580,16580,17,SI,Madrid
Cocinera,Asturias - España,02/04/2025,17.050 - 17.050,Nivel de estudios desconocido,17050-17050,17050,17050,17,SI,Asturias
Auxiliar de caixa i reposador de supermercat,Barcelona - Cataluña - España,02/04/2025,15.984 - 17.760,Estudios primarios incompletos,15984-17760,15984,17760,17,SI,Cataluña
Cocinera,Valencia - Comunidad Valenciana - España,02/04/2025,186.622 - 18.622,Sin estudios,186622-18622,186622,18622,103,SI,Comunidad Valenciana
Administrativo-a laboral barcelona,Barcelona - Cataluña - España,02/04/2025,18.000 - 20.000,Enseñanzas de grado superior de…,18000-20000,18000,20000,19,SI,Cataluña
Oficial primera albañil,Ciudad Real - Castilla la Mancha - España,02/04/2025,21.000 - 22.000,Nivel de estudios desconocido,21000-22000,21000,22000,22,SI,Castilla la Mancha
Peón en obra de carretera,Zaragoza - Aragon - España,02/04/2025,23.354 - 23.354,Nivel de estudios desconocido,23354-23354,23354,23354,23,SI,NA
Oficial en obra de carretera,Zaragoza - Aragon - España,02/04/2025,27.556 - 27.556,Nivel de estudios desconocido,27556-27556,27556,27556,28,SI,NA
Limpiador-ra,Navarra - España,02/04/2025,12.000 - 16.000,Estudios primarios completos,12000-16000,12000,16000,14,SI,Navarra
Instalador,Asturias - España,02/04/2025,27.000 - 28.000,Enseñanzas de grado medio de formación…,27000-28000,27000,28000,28,SI,Asturias
Conductor trailer c+e,Madrid - España,02/04/2025,30.000 - 33.000,Sin estudios,30000-33000,30000,33000,32,SI,Madrid
Expendedor vendedor,Navarra - España,02/04/2025,15.500 - 18.000,Estudios primarios completos,15500-18000,15500,18000,17,SI,Navarra
Arquitecto-a junior,Barcelona - Cataluña - España,02/04/2025,28.664 - 28.664,Enseñanzas universitarias de grado,28664-28664,28664,28664,29,SI,Cataluña
Ingeniero industrial,Cantabria - España,02/04/2025,35.000 - 38.000,Enseñanzas universitarias de grado,35000-38000,35000,38000,36,SI,Cantabria
Chofer c+e,Navarra - España,02/04/2025,"30,000 - 33,000",Enseñanzas de bachillerato,30.000-33.000,30,33,32,SI,Navarra
Instaladores de fachadas técnicas,Valladolid - Castilla Leon - España,02/04/2025,20.000 - 20.000,Estudios primarios completos,20000-20000,20000,20000,20,SI,NA
Camarero restaurante pequeño,Las Palmas - Canarias - España,02/04/2025,16.000 - 20.000,Estudios primarios completos,16000-20000,16000,20000,18,SI,Canarias
Vendedor-a media jorada 21h. zapatería niñ@s,Madrid - España,02/04/2025,"13.536,72 - 13.536,72",Estudios primarios completos,13536.72-13536.72,13537,13537,14,SI,Madrid
Ayudante de pastelería,Asturias - España,02/04/2025,6.906 - 14.000,Estudios primarios completos,6906-14000,6906,14000,10,SI,Asturias
Camarera de piso,Asturias - España,02/04/2025,"1,421 - 1,421",Enseñanzas de bachillerato,1.421-1.421,1,1,12,SI,Asturias
Peón construcción,Burgos - Castilla Leon - España,02/04/2025,"16,576 - 16,576 Primera etapa de educación secundaria…",NA,16.576-16.576,17,17,17,SI,NA
Fisioterapeuta para centro privado,Pontevedra - Galicia - España,02/04/2025,12.600 - 17.000,Enseñanzas universitarias de grado,12600-17000,12600,17000,15,SI,Galicia
Contable -fiscalista,Madrid - España,02/04/2025,"21,000 - 26,000",Enseñanzas de grado superior de…,21.000-26.000,21,26,24,SI,Madrid
"Devops engineer, hibrido",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Java backend developer, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Administrador sistemas red hat-vmware, presencial",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Programador-a jde, hibrido",Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Seo & aso marketing, barcelona",Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Responsable de plataforma b2b, córdoba",Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Software engineer, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Senior backend engineer, 100% en remoto",España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Consultor-a it, zaragoza",Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Data cloud, hibrido",España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,NA
"Java developer, hibrido",Barcelona - Cataluña - España,02/04/2025,39.000 - 48.000,Sin estudios,39000-48000,39000,48000,44,SI,Cataluña
"Técnico-a marketing, málaga",Malaga - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Fullstack developer, hibrido",Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
Costurera-arreglos de ropa,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Personal caja gasolinera - aranda de duero,Burgos - Castilla Leon - España,02/04/2025,14.000 - 17.999,Enseñanzas universitarias oficiales de…,14000-17999,14000,17999,16,SI,NA
Operario-a de limpieza 34 horas-semana - mairena del aljarafe (turno de mañana),Sevilla - Andalucia - España,02/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,NA,14000-17999,14000,17999,16,SI,NA
Parrillero-a (ref. 2212),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
Operario-a en planta de reciclaje de residuos eléctricos y electrónicos en aznalcollar (38 horas…,Sevilla - Andalucia - España,02/04/2025,10.000 - 13.999,Sin estudios,10000-13999,10000,13999,12,SI,NA
Comercial digital para salamanca,Salamanca - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Técnico-a analista de riesgo de crédito para salamanca,Salamanca - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
2 y bolsa de socorrista en ayto. de almenar (soria),Soria - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas universitarias de 1 er y 2º…,,NA,NA,NA,SI,NA
Ayudante de cocina para ávila,Avila - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Albañil con prl,Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Pintura industrial,Valencia - Comunidad Valenciana - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Comunidad Valenciana
Capataz monitor-a de agricultura y jardinería en diputación de segovia,Segovia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Personal de limpieza en ayto. de monterrrubio de armuña (salamanca),Salamanca - Castilla Leon - España,02/04/2025,Sin especificar,Primera etapa de educación secundaria…,,NA,NA,NA,SI,NA
Jefe-a de producción - ayudante de jefe de obra para ávila,Avila - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Educadores-as infantiles para hannover (alemania),Sin Especificar,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,NA,NA
Foro de empleo universidad politécnica de valencia,Sin Especificar,02/04/2025,Sin especificar,En prácticas Otros tipos de formación,,NA,NA,NA,NA,NA
Contable para espirdo (segovia),Segovia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Operario-a sección corte de calzadado,Albacete - Castilla la Mancha - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Castilla la Mancha
Operarios para instalación de cableado en planta fotovoltaica de grijota (palencia),Palencia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliar adminitrativo-a en ayto. de truchas (león),Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Profesional recursos humanos para león,Leon - Castilla Leon - España,02/04/2025,Sin especificar,Estudios oficiales de especialización…,,NA,NA,NA,SI,NA
Técnico-a de mantenimiento,Illes Balears - Baleares - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Baleares
Comercial para villadangos del páramo (león),Leon - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Técnico-a mantenimiento para fresno de la ribera (zamora),Zamora - Castilla Leon - España,02/04/2025,Sin especificar,Enseñanzas de grado medio de formación…,,NA,NA,NA,SI,NA
Monitor-a para programa madrugadores en ampudia (palencia),Palencia - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Experiment support and instrument technician (francia),Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Cocinero-ayudante de cocina en navia (asturias),Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Primary school teacher (suecia),Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Personal de limpieza cedeira 1 hora a la semana,Pontevedra - Galicia - España,02/04/2025,5.999 Primera etapa de educación secundaria…,NA,5999,5999,NA,72,SI,Galicia
Limpieza de gimnasio granada l-v,Granada - Andalucia - España,02/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,NA,14000-17999,14000,17999,16,SI,NA
Limpieza y-o lavandería zona tarragona,Barcelona - Cataluña - España,02/04/2025,6.000 Primera etapa de educación secundaria…,NA,6000,6000,NA,72,SI,Cataluña
Personal centro de lavado (cuenca),Cuenca - Castilla la Mancha - España,02/04/2025,14.000 - 17.999,Enseñanzas universitarias oficiales de…,14000-17999,14000,17999,16,SI,Castilla la Mancha
Limpieza aeropuerto menorca,Illes Balears - Baleares - España,02/04/2025,14.000 - 17.999 Primera etapa de educación secundaria…,NA,14000-17999,14000,17999,16,SI,Baleares
"Technical tester, stockholm",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
"Técnico-a it soporte (discapacidad), madrid",Madrid - España,02/04/2025,24.000 - 30.000,Enseñanzas universitarias oficiales de…,24000-30000,24000,30000,27,SI,Madrid
"Programadores-as .net - angular, 100% en remoto",España,02/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
"Senior react developers, 100% en remoto",España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Programador .net-angular, hibrido",Madrid - España,02/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,Madrid
"Ios developer, 100% en remoto",España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Fullstack python +react, hibrido",Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Lead developer, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Programador fullstack angular .net, hibrido",Madrid - España,02/04/2025,27.000 - 42.000,Sin estudios,27000-42000,27000,42000,34,SI,Madrid
"Software developer, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
"Abap-fiori developer, 100% en remoto",España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Ingeniero cloud azure, 100% en remoto",España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,NA
"Desarrollador react native, 100% en remoto",España,02/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
"Operador-a sistemas 24*7, presencial",Madrid - España,02/04/2025,Sin especificar,Enseñanzas universitarias oficiales de…,,NA,NA,NA,SI,Madrid
"Senior ui developer, london",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
10 puestos de teleoperador-a comercial (ref. 3330),Asturias - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias
"Helpdesk funcional - soporte a usuarios, 100% en remoto",España,02/04/2025,Sin especificar,Sin estudios,,NA,NA,NA,SI,NA
"Consultor de sitemas de gestión iso, burgos",Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Desarrollador-a java, málaga",Malaga - Andalucia - España,02/04/2025,18.000 - 24.000,Enseñanzas universitarias de grado,18000-24000,18000,24000,21,SI,NA
Soldadores de estructuras metálicas pesadas,Burgos - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Camareros de piso (hostelería),Huelva - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Auxiliar administrativo-a contable (ref.04 2025 001558),Illes Balears - Baleares - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares
Medico-a para residencia de mayores en olmedo (valladolid),Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Abogados, en general",Cordoba - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Senior analyst for pmo support, hibrido",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
Peón de explotación porcina,Zaragoza - Aragon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Cocinero-a para residencia de mayores en la seca (valladolid),Valladolid - Castilla Leon - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
Aplicadors-es de plaguicides,Barcelona - Cataluña - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluña
"Ingeniero de sistemas, málaga",Malaga - Andalucia - España,02/04/2025,Sin especificar,Enseñanzas universitarias de 1 er y 2º…,,NA,NA,NA,SI,NA
Enfermeros de cuidados generales,Huelva - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Outsystem developer, utrecht",Sin Especificar,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA
Directores de residencia de personas mayores (empleo público),Teruel - Aragon - España,02/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,NA
"Jardineros, en general",Granada - Andalucia - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,NA
"Consultor funcional - técnico senior, madrid",Madrid - España,02/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid
