Título,Localización,Fecha,Salario,Formación,Salario_limpio,Salario_min,Salario_max,SalarioPromedio,España,CCAA,Fecha_parsed,Mes,Nivel
Auxiliar de enfermería,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Oficial de mantemiento,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Enfermeros de cuidados generales,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Raseador-a,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
2 cocineros para el sepad en plasencia,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Work-location,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
"Cocineros, en general",Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Camarero-a (ref.2288),Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Auxiliares de enfermería,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Enfermero-a,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Directores de servicios sociales para personas mayores,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Gerocul@r,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Pintor-a de camiones oficial 3ª(ref.: 2280),Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
Ayudante de cocina (ref.: 2290),Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Personal de limpieza o limpiadores en general,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Inspector médico en arrasate. sust. it. pl3 superacion prueba,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Administrativa-o atencion al cliente,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Audioprotesista (ref.2289),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Formador-a de formación no reglada,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Herrero-a forjador. oficial de 1ª.,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Camareros de barra y terraza,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Profesores técnicos de formación profesional (fabricación mecánica),A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Oferta de técnico administrativo en soria,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
"Conductores de camión, en general",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Técnico de calidad,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Camarero-a,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Limpiador-a con discapacidad en murcia,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Dependientes de recambios y accesorios,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Carretillero-a (ref.: 2295),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Agentes comerciales,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Mecánicos reparadores de maquinaria agrícola, en general",Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Work-location,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Work-location,Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
"Conductores de camión, en general",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Terapeutas ocupacionales,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Inspector médico en barakaldo. vacante. pl3 y superación de prueba,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Psicólogo-a,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Profesor de frances,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Mozo de almacén (ref. 2291),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Albañiles (oficial de 1ª o 2ª),Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
2 peones forestales (ref.: 1446),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Calderero,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Albañiles (peón),Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
Operario-a industria alimentación,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Conductor-a de camión,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Oferta camarero-a para restaurante torrejón de ardoz.,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Tornero,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Jefe de obra (aquitecto-a técnico) en villalobón (palencia),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Auxiliares de enfermería,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Podadores y-o motoserristas forestales,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Enfermeros de cuidados generales,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Limpiador-a centro sanitario lalin,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Operario-a de envasado en fábrica (molina de segura),Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
Limpieza y mantenimiento de marquesinas,Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Peones agricolas (poda viñedos y plantación almendros),Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Dependiente-a de panadería <b>en oviedo<-b> (ref. 2244),Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Analista programador cobol - cirbe, madrid",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Electronic workplace l2 client support, madrid",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Ayudante de cocina,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Personal de manteniment per esparreguera,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Mecánicos de maquinaria agricola,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
"Desarrollador de aplicaciones, 100% en remoto",A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
"Camunda bpm business analyst, noord-holland",Malaga - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
"Functional data analyst, madrid",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
"Lead appian developer, hessen",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
"Platform engineer dbm, groningen",Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Desarrollador .net (remoto - seguros), 100% en remoto",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Técnico de marketing y comunicación, barcelona",Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Montador electromecánico en tres cantos,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
"Senior software engineer, barcelona",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Junior aml analyst, repubblika ta' malta",Alava - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
"Ingeniero automatismos, sevilla",Sevilla - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
"Senior sas statistical programmer, barcelona",Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Instalador de equipos de climatización y refrigeración,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Volte-r4 testing resources, rheinland-pfalz",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-03,abril,Otros
"Cpq consultants, noord-holland",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-03,abril,Otros
"Integration software engineer, gotlands län",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-03,abril,Otros
Técnico-a de mantenimieto,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
"Developer windfall fx, rzeczpospolita polska",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-03,abril,Otros
"Technical support analyst, málaga",Malaga - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
"Senior ctera engineer-l3, noord-brabant",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-03,abril,Otros
"Deloitte tech camp training for data, madrid - primer empleo",Madrid - España,03/04/2025,Sin especificar,En prácticas Enseñanzas de grado superior de…,,NA,NA,NA,SI,Madrid,2025-04-03,abril,FP/Bachiller
"Programador-a plc, zaragoza",Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
"Ingeniero de diseño, gipuzkoa",Sin Especificar,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,NA,NA,2025-04-03,abril,Otros
Electricista de mantenimiento y reparación,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Asesor-a fiscal y contable,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
"Maestros de educación primaria, en general",Palencia - Castilla Leon - España,03/04/2025,Sin especificar,Estudios primarios completos,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Básico
"Cocineros, en general",Avila - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Conductores-operadores de grúa torre,Valladolid - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Fontanero-climatizador,Zaragoza - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Arquitectos técnicos,Granada - Andalucia - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Universidad
Personal de limpieza,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Formador-docente de certificado de profesionalidad imar0109(instalaciones de climatizacion,…",Madrid - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Universidad
Oficial 3º rotulista.,Madrid - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Madrid,2025-04-03,abril,FP/Bachiller
"Fisioterapeutas, en general",Leon - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Auxiliar administrativo,Toledo - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-03,abril,Otros
"Conductores de camión, en general",Valladolid - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Dependiente-a alimentación (ref. 1783),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Ebanista,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Formador-a jardinería en alcalá de henares,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Farmacéutico-a,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Universidad
Agentes de desarrollo social,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Universidad
Almacenero,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Enfermeros de cuidados generales,Leon - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Técnico-a administrativo,Albacete - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-03,abril,Otros
Docente dinamización de actividades de ocio y tiempo libre,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Conductores de furgoneta.,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Camarero de barra - restaurante,Caceres - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
Mecánic@ ciclomotores y motocicletas,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
Chapista de vehículos,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Contable para gestoria de tamarite,Huesca - Aragon - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Universidad
Peón-a de la construcción (ref. 2256).,Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Auxiliar de enfermería (ref.: 2258),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Operario-a de produccion,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Mecánico-a de mantenimiento,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Camarero-a de pisos hotel 5*(ref. 2260),Asturias - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Asturias,2025-04-03,abril,Otros
Auxiliar centro de día,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Operadores de máquinas envasadoras de aceites y grasas comestibles,Jaen - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
1 camarero-a - campanario,Badajoz - Extremadura - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Extremadura,2025-04-03,abril,Otros
Comercial-dependiente recambios maquinaria agrícola,Toledo - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-03,abril,Otros
Psicòleg-oga,Lleida - Cataluña - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Doctorado
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Tarragona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Jardinero-a,Teruel - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Instal.lador-a de vidres de cotxes,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Grados universitarios de 240 créditos…,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Universidad
"Docente especialidad formativa fcoo03 inserción laboral,sensibilización medioambiental y en la…",Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Otros
Conductor de trailer c+e,Segovia - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Cuiner-a,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Pintores y-o empapeladores,Huelva - Andalucia - España,03/04/2025,Sin especificar,"Bachillerato, fp básica y fp de grado…",,NA,NA,NA,SI,Andalucia,2025-04-03,abril,FP/Bachiller
Podadores y-o motoserristas forestales,Leon - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Auxiliar de enfermería,Guipuzcoa - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Work-location,Girona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Auxiliar de producción de papel y cartón,Murcia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Murcia,2025-04-03,abril,Otros
Vigilantes de seguridad,A Coruña - Galicia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Galicia,2025-04-03,abril,Otros
Comercial - atención al cliente,Madrid - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Madrid,2025-04-03,abril,Otros
Mecánica -o,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Fp de grado superior y equivalentes…,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,FP/Bachiller
Farmaceútico-a,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Grados universitarios de más de 240…,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Universidad
Formadores de formación para el empleo,Zamora - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
Work-location,Huesca - Aragon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Aragon,2025-04-03,abril,Otros
Work-location,Barcelona - Cataluña - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Cataluna,2025-04-03,abril,Otros
"Médicos, medicina general",Granada - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
"Electricistas de mantenimiento y reparación, en general",Cordoba - Andalucia - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Andalucia,2025-04-03,abril,Otros
Conductor-a de camión rígido,Vizcaya - Pais Vasco - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Pais Vasco,2025-04-03,abril,Otros
Limpiador-a con carné de conducir,Illes Balears - Baleares - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Otros
"Conserjes, en general",Burgos - Castilla Leon - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla Leon,2025-04-03,abril,Otros
Técnico-a de recursos humanos con certificado de discapacidad (ref. 04 2025 001878),Illes Balears - Baleares - España,03/04/2025,Sin especificar,Doctorado o equivalente,,NA,NA,NA,SI,Baleares,2025-04-03,abril,Doctorado
Camarero-a.,Toledo - Castilla la Mancha - España,03/04/2025,Sin especificar,Otros tipos de formación,,NA,NA,NA,SI,Castilla la Mancha,2025-04-03,abril,Otros
