Título,SalarioPromedio,España,CCAA,Mes,Nivel,Modalidad
"Mecánicos-ajustadores de camiones y autobuses, en general",27,SI,Galicia,abril,Otros,Presencial
Enfermeros de cuidados generales,21,SI,Galicia,abril,Universidad,Presencial
Agentes comerciales,27,SI,Galicia,abril,Otros,Presencial
Administrativo-a,35,SI,Extremadura,abril,Doctorado,Presencial
Administrativo-a,23,SI,Andalucia,abril,FP/Bachiller,Presencial
Repartidor-a de pizzas zona santander,19,SI,Cantabria,abril,Básico,Presencial
Repartidor-a de pizzas zona burgos,19,SI,Castilla Leon,abril,Básico,Presencial
Carpintero metálico oficial 1ª con al menos 4 años de experiencia,21,SI,Extremadura,abril,Universidad,Presencial
Logopeda centro atención temprana reinosa,27,SI,Madrid,abril,Otros,Presencial
Monitor-a de suport a les preses. ref. smntr,32,SI,Cataluna,abril,Sin estudios,Presencial
Gpp&w - jefe-a de partida restaurante,32,SI,Baleares,abril,Sin estudios,Presencial
Técnico en área laboral de asesoría de empresas,20,SI,Extremadura,abril,NA,Presencial
Auxiliar de limpieza. ref. sxsdl,32,SI,Madrid,abril,Sin estudios,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
Marmolistas de la construcción,27,SI,Galicia,abril,Otros,Presencial
"Empleados de venta de cupones, en general",27,SI,Galicia,abril,Otros,Presencial
Captador-a socios save the children 4 h mañana,19,SI,Andalucia,abril,Básico,Presencial
Monitor-a de suport a les preses. ref. smntr,32,SI,Cataluna,abril,Sin estudios,Presencial
Soporte técnico-a (santander),32,SI,Cantabria,abril,Sin estudios,Presencial
Oferta pública: gerocultor-a en residencia de ancianos,16,SI,Andalucia,abril,Universidad,Presencial
Oferta publica: conductor - operador de retroexcavadora (movimiento de tierras),17,SI,Andalucia,abril,Universidad,Presencial
Auxiliar de enfermería,14,SI,Andalucia,abril,Otros,Presencial
Personal funcionario interino cuerpo ingeniero tecnico industrial a2.2004,25,SI,Andalucia,abril,Universidad,Presencial
Oferta pública: auxiliar de protección civil,7,SI,Andalucia,abril,Universidad,Presencial
Conductor-a camión con carnet tipo c,27,SI,Extremadura,abril,Otros,Presencial
Auxiliar de tienda para badalona. barcelona,19,SI,Cataluna,abril,Básico,Presencial
Empleado-a administrativo-a,35,SI,Extremadura,abril,Doctorado,Presencial
Gpp&w - 2º jefe-a de mantenimiento (maintenance organizer),21,SI,Baleares,abril,Universidad,Presencial
Cocinero en logrosan.,27,SI,Extremadura,abril,Otros,Presencial
Repartidor-a de pizzas zona valladolid,19,SI,Castilla Leon,abril,Básico,Presencial
Monitor-a comedor escolar. ref smntr,32,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
Profesor-a -a de autoescuela,32,SI,Cataluna,abril,Sin estudios,Presencial
Asistentes domiciliarios,27,SI,Canarias,abril,Otros,Presencial
Pintores y-o empapeladores,27,SI,Canarias,abril,Otros,Presencial
Palista,27,SI,Navarra,abril,Otros,Presencial
Educador-a social jubiloteca,21,NO,Navarra,abril,Universidad,Presencial
Montadores de andamios,27,SI,Canarias,abril,Otros,Presencial
Oferta pública: medico de recursos avanzados de cuidados paliativos,43,SI,Andalucia,abril,Universidad,Presencial
Oferta pública: médico de familia (sccu).,41,SI,Andalucia,abril,Universidad,Presencial
Oferta pública: redactor-a,38,SI,Andalucia,abril,Universidad,Presencial
Jefe-a de partida - palladium hotel menorca,32,SI,Baleares,abril,Sin estudios,Presencial
Oferta privada: farmaceutico-a hospitalario-a,50,SI,Andalucia,abril,NA,Presencial
Oferta privada: personal limpieza viviendas uso turistico,7,SI,Andalucia,abril,Universidad,Presencial
"It helpdesk technician, málaga",21,SI,Andalucia,abril,Universidad,Presencial
"Oferta privada: enfermero-a de cuidados generales-due, para residencia de personas mayores",11,SI,Andalucia,abril,Universidad,Presencial
Oferta pública: gerocultor-a en residencia de ancianos,16,SI,Andalucia,abril,Universidad,Presencial
Oferta pública: cocinero-a para sustitución en residencia,15,SI,Andalucia,abril,Universidad,Presencial
"Qa funcionales certificación istqb. híbrido, hibrido",32,SI,Madrid,abril,Sin estudios,Híbrido
"Consultores senior calypso banca inglés híbrido, hibrido",32,SI,Madrid,abril,Sin estudios,Híbrido
Gpp&w - cocinero-a,32,SI,Baleares,abril,Sin estudios,Presencial
Monitor-a de suport a torrefarrera. ref. smntr,32,SI,Cataluna,abril,Sin estudios,Presencial
Gpp&w - técnico-a de mantenimiento,32,SI,Baleares,abril,Sin estudios,Presencial
Cocinero,27,SI,Navarra,abril,Otros,Presencial
Soldador-a - carpintero-a metálico,27,SI,Navarra,abril,Otros,Presencial
Dirección de gestión de personas. no clicar boton inscribirse. hacerlo a través de la web cpen.,21,SI,Navarra,abril,Universidad,Presencial
Auxiliar clínica dental,16,SI,Navarra,abril,FP/Bachiller,Presencial
Ayudante educativo-a para centro ocupacional,21,SI,Navarra,abril,Universidad,Presencial
"Administrador-a wintel sccm, hibrido",32,SI,Madrid,abril,Sin estudios,Híbrido
Valet - aparcacoches en hotel,16,SI,Navarra,abril,FP/Bachiller,Presencial
Teleoperador-a de atención al cliente (horario irregular),16,SI,Navarra,abril,FP/Bachiller,Presencial
"Ingeniero-a fullstack java-angular, 100% en remoto",27,SI,NA,abril,Otros,Remoto
"Arquitecto .net - inglés alto, 100% en remoto",32,SI,NA,abril,Sin estudios,Remoto
Administrativo contable en centro residencial,22,SI,Andalucia,abril,NA,Presencial
Administrativo-a,16,SI,Madrid,abril,NA,Presencial
"Desarrollador-a senior fullstack, presencial",39,SI,Cataluna,abril,Sin estudios,Presencial
"Consultor-a bmc discovery, 100% en remoto",51,SI,NA,abril,Sin estudios,Remoto
"Consultor-a sap hcm, 100% en remoto",16,SI,NA,abril,FP/Bachiller,Remoto
"Data governance - ibm, madrid",39,SI,Madrid,abril,Universidad,Presencial
"Desarrollo full-stack (.net - angular), madrid",34,SI,Madrid,abril,Sin estudios,Presencial
"Técnico de redes, hibrido",32,SI,Andalucia,abril,Sin estudios,Híbrido
Operario-a de producción,16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
"Validation lead, hessen",27,NA,NA,abril,Otros,Presencial
"Product owner, gotlands län",27,NA,NA,abril,Otros,Presencial
"Enterprise architect, london",27,NA,NA,abril,Otros,Presencial
Operario-a de manufactura en salinas (alicante),16,SI,Castilla la Mancha,abril,FP/Bachiller,Presencial
"Ingeniero de desarrollo electrónico, bizkaia",27,NA,NA,abril,Otros,Presencial
"Senior fullstack node aws (inglés), hibrido",32,SI,Aragon,abril,Sin estudios,Híbrido
"Qa tester (murex testing), hibrido",32,SI,Madrid,abril,Sin estudios,Híbrido
"Tech lead azure databricks (inglés), 100% en remoto",46,SI,NA,abril,Sin estudios,Remoto
"Programador front angular, 100% en remoto",32,SI,Andalucia,abril,Sin estudios,Remoto
"Ignite technical program manager, republika bulgariya",16,SI,Comunidad Valenciana,abril,Sin estudios,Presencial
"Programador powercenter- amazon redshift, 100% en remoto",27,NA,NA,abril,Otros,Remoto
