Título,SalarioPromedio,España,CCAA,Mes,Nivel,Modalidad
"Conductores de camión, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Operario laboratorio fundic. en agurain. contrato 6 meses,27,SI,Pais Vasco,abril,Otros,Presencial
Peluqueros de señoras,27,SI,Galicia,abril,Otros,Presencial
Pulidor-pulidora,27,SI,Pais Vasco,abril,Otros,Presencial
1 ayudante de cocina,27,SI,Cantabria,abril,Otros,Presencial
Monitor-a centro interpretación aneto (sector público),20,SI,Aragon,abril,NA,Presencial
Profesores técnicos de formación profesional (electricidad y electrónica),27,SI,Castilla Leon,abril,Otros,Presencial
Gerocultores,27,SI,Aragon,abril,Otros,Presencial
Albañiles,27,SI,Andalucia,abril,Otros,Presencial
"Cocineros, en general",27,SI,Andalucia,abril,Otros,Presencial
1 fisioterapeuta,27,SI,Cantabria,abril,Otros,Presencial
Mecánico automoción,27,SI,Castilla la Mancha,abril,Otros,Presencial
Profesor-a,21,SI,Pais Vasco,abril,Universidad,Presencial
Maquinista de c.n.c (ref. 2271),27,SI,Asturias,abril,Otros,Presencial
Operario de mantenimiento,27,SI,Castilla Leon,abril,Otros,Presencial
Técnico gestión económica presupuestaria en vitoria (ura). contr. pl3 sustit 2 meses,27,SI,Pais Vasco,abril,Otros,Presencial
"Docente curso de formación: ""mantenimiento y rehabilitación de edificios""",27,SI,Castilla la Mancha,abril,Otros,Presencial
Utileria para espectáculos en vivo - inaem,27,SI,Madrid,abril,Otros,Presencial
"Consultor-a en economía, competitividad e innovación",21,SI,Pais Vasco,abril,Universidad,Presencial
Albañiles,27,SI,Andalucia,abril,Otros,Presencial
Asistentes domiciliarios,27,SI,Andalucia,abril,Otros,Presencial
Enfermero-a,27,SI,Extremadura,abril,Otros,Presencial
Educador-a ambiental - balears,32,SI,Baleares,abril,Sin estudios,Presencial
2 puestos de cocinero-a,21,SI,Extremadura,abril,Universidad,Presencial
Empleado-a de departamento de diseño y comunicación,27,SI,Extremadura,abril,Otros,Presencial
"Administrador-a de redes (nivel 1 y 2), hibrido",27,SI,Madrid,abril,Universidad,Híbrido
Educador-a ambiental - balears,32,SI,Baleares,abril,Sin estudios,Presencial
Profesional de carnicería,19,SI,Navarra,abril,Básico,Presencial
Profesional de pescadería,19,SI,Navarra,abril,Básico,Presencial
Cuidador-a de mujeres con discapacidad intelectual (turno de mañanas),21,SI,Navarra,abril,Universidad,Presencial
Administrativo-a comercial con conocimientos altos en inglés.,20,SI,Murcia,abril,NA,Presencial
6 operarios-as para la industria láctea ( ref. 2287),27,SI,Asturias,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Ayudante de camarero-a (ref. 2283),27,SI,Asturias,abril,Otros,Presencial
Técnicos en estudios de mercado y opinión pública(marketing),27,SI,Andalucia,abril,Otros,Presencial
1 pedicuro-a manicuro-a,27,SI,Cantabria,abril,Otros,Presencial
Inspector médico en irun. 1 puesto vacante superacion prueba. pl3,35,SI,Pais Vasco,abril,Doctorado,Presencial
Mantenedores de edificios,27,SI,Andalucia,abril,Otros,Presencial
Cocineros y-o pinches de cocina,27,SI,Aragon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
"Fisioterapeutas, en general",27,SI,Andalucia,abril,Otros,Presencial
"Cocineros, en general",27,SI,Canarias,abril,Otros,Presencial
Directores técnicos de centro educativo,21,SI,Andalucia,abril,Universidad,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
"Cocineros, en general",27,SI,Canarias,abril,Otros,Presencial
Inspector-a médico-a. en vitoria. vacante. 4 puestos pl3 y superación prueba,27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Maestro-a educación infantil (num 04 2025 001881),27,SI,Baleares,abril,Otros,Presencial
Conductor-operador de retroexcavadora,27,SI,Aragon,abril,Otros,Presencial
Asistentes domiciliarios,27,SI,Andalucia,abril,Otros,Presencial
Agente comercial,27,SI,Madrid,abril,Otros,Presencial
Un ayudante de cocina para hotel meleiros,27,SI,Castilla Leon,abril,Otros,Presencial
Ayudante-a de cocina (ref. 2286),27,SI,Asturias,abril,Otros,Presencial
Operario de cargas,27,SI,Aragon,abril,Otros,Presencial
Montadores de vídeo,27,SI,Andalucia,abril,Otros,Presencial
"Mecánicos de mantenimiento y reparación de automoción, en general",27,SI,Canarias,abril,Otros,Presencial
"Técnicos administrativos, en general",16,SI,Andalucia,abril,FP/Bachiller,Presencial
"Formador-a de formación no reglada para impartir curso ""competencias digitales básicas""",27,SI,Castilla la Mancha,abril,Otros,Presencial
Work-location,27,SI,Baleares,abril,Otros,Presencial
Gestores culturales,27,SI,Andalucia,abril,Otros,Presencial
Ayudante de camarero-a (ref. 2285),27,SI,Asturias,abril,Otros,Presencial
Ferrallistas,27,SI,Canarias,abril,Otros,Presencial
Ingeniero-a informático,27,SI,Aragon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Fontanero-a - oficial 1.ª (ref. 1497),27,SI,Asturias,abril,Otros,Presencial
Auxiliar servicio limpieza (asl). ref sxsdl,19,SI,Cataluna,abril,Básico,Presencial
Terapeuta ocupacional para clínica de rehabilitación,21,SI,Navarra,abril,Universidad,Presencial
Auxiliar cocina-limpieza (jaca). ref. sxsdl,19,SI,Aragon,abril,Básico,Presencial
Operario-a de producción,27,SI,Comunidad Valenciana,abril,NA,Presencial
Operario-a de limpieza-discapacidad-media jornada,19,SI,Madrid,abril,Básico,Presencial
Reponedor-a vending alcobendas,32,SI,Madrid,abril,Sin estudios,Presencial
Jefe-a de partida only you hotels,32,SI,Madrid,abril,Sin estudios,Presencial
2º jefe-a de cocina hell´s kitchen - ushuaïa ibiza beach hotel,32,SI,Baleares,abril,Sin estudios,Presencial
Operario-a de limpieza-discapacidad-móstoles,19,SI,Madrid,abril,Básico,Presencial
Gpp&w - ayudante de camarero-a montador-a de eventos (perfil polivalente),19,SI,Baleares,abril,Básico,Presencial
Confitero-a panadero-a (ref. 1852),27,SI,Asturias,abril,Otros,Presencial
Agente telefónico comercial,19,SI,Cataluna,abril,Básico,Presencial
Responsable de sala,19,SI,Cataluna,abril,Básico,Presencial
Camarero-a eventos (rest. cosmocaixa),32,SI,Cataluna,abril,Sin estudios,Presencial
Personal de limpieza de zonas comunes restaurante,16,SI,Andalucia,abril,Universidad,Presencial
Operarios de despiece litera meat,27,SI,Aragon,abril,Otros,Presencial
"Java developer, 100% en remoto",27,SI,NA,abril,Otros,Remoto
"Fullstack technical architect, madrid",27,SI,Madrid,abril,Otros,Presencial
"Java backend developer, madrid",27,SI,Madrid,abril,Otros,Presencial
"Oracle fusion erp - solution architect, málaga",21,SI,Andalucia,abril,Universidad,Presencial
"Salesforce developer, 100% en remoto",27,SI,NA,abril,Otros,Remoto
"Front end angular programmer, 100% en remoto",27,SI,NA,abril,Otros,Remoto
"Deloitte tech camp training for data, hibrido - primer empleo",16,SI,Cataluna,abril,FP/Bachiller,Híbrido
"Ms power developer, madrid",27,SI,Madrid,abril,Otros,Presencial
Asesor-a laboral,27,SI,Murcia,abril,Otros,Presencial
Asistentes domiciliarios,27,SI,Castilla Leon,abril,Otros,Presencial
"Conductores de camión, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Oferta institucional técnico medio menores (equipo técnico asesoramiento) no admite autocandidatura,27,SI,Madrid,abril,Otros,Presencial
Panaderos,27,SI,Cataluna,abril,Otros,Presencial
"Docente certificado de profesionalidad ""operaciones auxiliares de revestimientos continuos en…",27,SI,Castilla la Mancha,abril,Otros,Presencial
Asistentes domiciliarios,27,SI,Andalucia,abril,Otros,Presencial
Profesionales de la educación ambiental,21,SI,Andalucia,abril,Universidad,Presencial
Conductores profesionales de automóvil,20,SI,Andalucia,abril,NA,Presencial
Enfermeros de cuidados generales,21,SI,Castilla Leon,abril,Universidad,Presencial
Conductores de camión con remolque y-o de tractocamión,27,SI,Castilla Leon,abril,Otros,Presencial
Terapeutas ocupacionales,27,SI,Castilla Leon,abril,Otros,Presencial
"Fisioterapeutas, en general",27,SI,Castilla Leon,abril,Otros,Presencial
"Conductores de camión, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Dependienta,27,SI,Castilla Leon,abril,Otros,Presencial
"Conductores de camión, en general",27,SI,Castilla Leon,abril,Otros,Presencial
"Cocineros, en general",27,SI,Castilla Leon,abril,Otros,Presencial
"Conductores de camión, en general",27,SI,Castilla Leon,abril,Otros,Presencial
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",21,SI,Castilla Leon,abril,Universidad,Presencial
Pinches de cocina,27,SI,Castilla Leon,abril,Otros,Presencial
"Conductores de autobús, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Camarero-a,27,SI,Castilla Leon,abril,Otros,Presencial
Enfermeros de cuidados generales,27,SI,Castilla Leon,abril,Otros,Presencial
Elaboradores de productos cárnicos,27,SI,Castilla Leon,abril,Otros,Presencial
Auxiliares de enfermería,27,SI,Castilla Leon,abril,Otros,Presencial
Oferta de un puesto de terapeuta ocupacional en el royo (soria),27,SI,Castilla Leon,abril,Otros,Presencial
Personal de limpieza o limpiadores en general,20,SI,Castilla Leon,abril,NA,Presencial
"Conserjes, en general",27,SI,Castilla Leon,abril,Otros,Presencial
"Camareros, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Agentes comerciales,27,SI,Castilla Leon,abril,Otros,Presencial
"Profesores de idiomas, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Terapeutas ocupacionales,27,SI,Castilla Leon,abril,Otros,Presencial
Chófer de reparto,27,SI,Castilla Leon,abril,Otros,Presencial
Auxiliares de enfermería de geriatría,16,SI,Castilla Leon,abril,FP/Bachiller,Presencial
Mantenedores de edificios,27,SI,Castilla Leon,abril,Otros,Presencial
"Técnicos administrativos, en general",20,SI,Castilla Leon,abril,NA,Presencial
"Instaladores electricistas, en general",27,SI,Castilla Leon,abril,Otros,Presencial
"Cocineros, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Peones de la industria metalúrgica y fabricación de productos metálicos,27,SI,Castilla Leon,abril,Otros,Presencial
Profesores del área de matemáticas (enseñanza secundaria),20,SI,Castilla Leon,abril,NA,Presencial
"Camareros, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Agentes comerciales,16,SI,Andalucia,abril,FP/Bachiller,Presencial
"Cocineros, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Auxiliares de enfermería de geriatría,16,SI,Castilla Leon,abril,FP/Bachiller,Presencial
Asistentes domiciliarios,27,SI,Castilla Leon,abril,Otros,Presencial
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",21,SI,Castilla Leon,abril,Universidad,Presencial
Camarero-a,27,SI,Castilla Leon,abril,Otros,Presencial
Formadores de formación para el empleo,27,SI,Castilla Leon,abril,Otros,Presencial
Profesores técnicos de formación profesional (electricidad y electrónica),20,SI,Castilla Leon,abril,NA,Presencial
"Cocineros, en general",27,SI,Castilla Leon,abril,Otros,Presencial
Elaboradores de productos cárnicos,27,SI,Castilla Leon,abril,Otros,Presencial
1 conductor-a de trailers nacional,27,SI,Cantabria,abril,Otros,Presencial
Terapeutas ocupacionales,27,SI,Castilla Leon,abril,Otros,Presencial
Azafatos o auxiliares de congresos y exposiciones,27,SI,Andalucia,abril,Otros,Presencial
Asistentes domiciliarios,27,SI,Andalucia,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
2 puestos de técnico-a en construcciones metálicas (ref.2264),27,SI,Asturias,abril,Otros,Presencial
Técnicos en educación infantil,27,SI,Andalucia,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Camarero-a,27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Aragon,abril,Otros,Presencial
Formador-a en carpinteria y mueble,27,SI,Murcia,abril,Otros,Presencial
Operarios-as del metal para trabajos en altura (ref: 2265),27,SI,Asturias,abril,Otros,Presencial
1 operador-a de grúa móvil autopropulsada,27,SI,Cantabria,abril,Otros,Presencial
Formador-a en limpieza de espacios abiertos e instalaciones industriales.,27,SI,Murcia,abril,Otros,Presencial
Operario-a de producción especializado-a en manejo de carretilla elevadora.,16,SI,Murcia,abril,FP/Bachiller,Presencial
Ingeniero-ingeniera,27,SI,Pais Vasco,abril,Otros,Presencial
Cuidadores de niños en domicilio,27,SI,Galicia,abril,Otros,Presencial
Personal de limpieza o limpiadores en general,27,SI,Andalucia,abril,Otros,Presencial
1 conductor-a camión grúa,27,SI,Cantabria,abril,Otros,Presencial
Docente de matemáticas y tecnología (eso),27,SI,Pais Vasco,abril,Otros,Presencial
Monitor de tiempo libre,16,SI,Aragon,abril,FP/Bachiller,Presencial
"Conductores de autobús, en general",27,SI,Galicia,abril,Otros,Presencial
Peones de la construcción,27,SI,Galicia,abril,Otros,Presencial
Albañil oficial primera con experiencia y permiso de conducir,27,SI,Extremadura,abril,Otros,Presencial
Pinches de cocina,27,SI,Galicia,abril,Otros,Presencial
Administración,27,SI,La Rioja,abril,Otros,Presencial
Asistentes domiciliarios,27,SI,Galicia,abril,Otros,Presencial
Verificación y rebabado,27,SI,Pais Vasco,abril,Otros,Presencial
1 ayudante de cocina,27,SI,Cantabria,abril,Otros,Presencial
5 conductores profesionales de camion en don benito,27,SI,Extremadura,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Personal administrativo comercial,27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Dependiente-a de tienda de alimentación (ref. 2261),27,SI,Asturias,abril,Otros,Presencial
Asistentes domiciliarios,16,SI,Galicia,abril,FP/Bachiller,Presencial
"Chapista vehiculos, oficial primera",27,SI,Madrid,abril,Otros,Presencial
Cocinero-a. oficial de 1ª.,27,SI,Madrid,abril,Otros,Presencial
Rectificador de cigüeñales-oficial de 1ª,27,SI,Madrid,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Director-directora de centro de servicios sociales,21,SI,Aragon,abril,Universidad,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Albañiles,16,SI,Andalucia,abril,FP/Bachiller,Presencial
Cocinero-a (ref. 2263),27,SI,Asturias,abril,Otros,Presencial
Albañiles. oficiales de 1ª,27,SI,Aragon,abril,Otros,Presencial
Ayudante de camarero-a (ref. 2257),27,SI,Asturias,abril,Otros,Presencial
1 mecanico-a,27,SI,Cantabria,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Conductor-a de camión rígido-tráiler (ref.: 2255),27,SI,Asturias,abril,Otros,Presencial
"Empleados administrativos de contabilidad, en general",16,SI,Canarias,abril,FP/Bachiller,Presencial
Conserje con discapacidad,27,SI,Murcia,abril,Otros,Presencial
Work-location,27,SI,Aragon,abril,Otros,Presencial
Agentes de seguros,20,SI,Andalucia,abril,NA,Presencial
"Fisioterapeutas, en general",27,SI,Galicia,abril,Otros,Presencial
2 puestos de ayudante de recepción (ref. 2259),27,SI,Asturias,abril,Otros,Presencial
Personal auxiliar administrativo,19,SI,Pais Vasco,abril,Básico,Presencial
"Cocineros, en general",27,SI,Galicia,abril,Otros,Presencial
Cocinero-a,27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",27,SI,Andalucia,abril,Otros,Presencial
Marmitones,27,SI,Canarias,abril,Otros,Presencial
Técnico-a en gestión y desarrollo de proyectos informáticos,27,SI,Pais Vasco,abril,Otros,Presencial
Asistentes domiciliarios,27,SI,Andalucia,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Ayudante de cocina (ref: 2276),27,SI,Asturias,abril,Otros,Presencial
Formadores de formación para el empleo,21,SI,Andalucia,abril,Universidad,Presencial
Albañiles,27,SI,Galicia,abril,Otros,Presencial
Ayudante de camarero-a (ref. 2272),27,SI,Asturias,abril,Otros,Presencial
Enfermeros de cuidados generales,27,SI,Andalucia,abril,Otros,Presencial
"Cocineros, en general",27,SI,Canarias,abril,Otros,Presencial
Técnico-a de logística,27,SI,Murcia,abril,Otros,Presencial
Ayudante de cocina,19,SI,Madrid,abril,Básico,Presencial
Marineros de cubierta (excepto pesca),27,SI,Canarias,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Auxiliar de enfermería (ref.2275),27,SI,Asturias,abril,Otros,Presencial
Expendedores de combustible,27,SI,Canarias,abril,Otros,Presencial
Peones de la construcción de edificios,27,SI,Galicia,abril,Otros,Presencial
1 delineante,27,SI,Cantabria,abril,Otros,Presencial
Jefes de máquinas de buque mercante,21,SI,Canarias,abril,Universidad,Presencial
Telefonista para emisora de taxi,16,SI,Aragon,abril,FP/Bachiller,Presencial
Educador-a social,27,SI,Pais Vasco,abril,Otros,Presencial
"Cocinero, municipio trescasas",27,SI,Castilla Leon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Oferta oficial de mantenimiento eléctrico para torrejón de ardoz,27,SI,Madrid,abril,Otros,Presencial
Esteticistas,27,SI,Aragon,abril,Otros,Presencial
Consultoria en acción climática y energía,21,SI,Pais Vasco,abril,Universidad,Presencial
Soldadores mig-mag-semiautomática,27,SI,Aragon,abril,Otros,Presencial
"Técnicos de laboratorio sanitario, en general",27,SI,Andalucia,abril,Otros,Presencial
Escayolista. escayola arabe.,27,SI,Madrid,abril,Otros,Presencial
Mecánicos-ajustadores de motocicletas y ciclomotores,27,SI,Andalucia,abril,Otros,Presencial
Técnicos en sistemas microinformáticos,20,SI,Andalucia,abril,NA,Presencial
Instalador-a electricista,27,SI,Castilla la Mancha,abril,Otros,Presencial
Enfermeros de cuidados generales,21,SI,Andalucia,abril,Universidad,Presencial
Enfermeros de cuidados generales,21,SI,Andalucia,abril,Universidad,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Enfermero- enfermera,27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Carrocero-a,27,SI,Pais Vasco,abril,Otros,Presencial
Cocineros de barco,27,SI,Canarias,abril,Otros,Presencial
Enfermeros de cuidados generales,27,SI,Andalucia,abril,Otros,Presencial
Primeros oficiales de puente de buques mercantes,35,SI,Canarias,abril,Doctorado,Presencial
Engrasadores de máquinas de barcos,27,SI,Canarias,abril,Otros,Presencial
Monitores y-o animadores deportivos,27,SI,Andalucia,abril,Otros,Presencial
Conductor -a camión transporte especial-cid (el burgo de ebro),27,SI,Aragon,abril,Otros,Presencial
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",27,SI,Andalucia,abril,Otros,Presencial
Buzos especialistas en salvamento,27,SI,Canarias,abril,Otros,Presencial
Formadores de formación para el empleo,21,SI,Canarias,abril,Universidad,Presencial
Patrones de buques mercantes,20,SI,Andalucia,abril,NA,Presencial
Técnico-a esteticien - masajista de spa de hotel 5* (ref. 2277),27,SI,Asturias,abril,Otros,Presencial
Oficial 1ª encofrador (ref: 042025001885),27,SI,Baleares,abril,Otros,Presencial
Operario-a de carga,16,SI,Pais Vasco,abril,FP/Bachiller,Presencial
Terapeuta ocupacional,27,SI,Extremadura,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
"Ayudante de cocina, trescasas",27,SI,Castilla Leon,abril,Otros,Presencial
Chofer camión,27,SI,Pais Vasco,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Peones de la construcción de edificios,27,SI,Canarias,abril,Otros,Presencial
Auxiliares de geriatría,27,SI,Aragon,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Cocinero-a pedrola,27,SI,Aragon,abril,Otros,Presencial
Técnicos medios en ciencias matemáticas,27,SI,Andalucia,abril,Otros,Presencial
Limpiador-a,27,SI,Castilla la Mancha,abril,Otros,Presencial
1 investigador-a predoctoral,27,SI,Cantabria,abril,Otros,Presencial
Profesor de ciencias con inglés e euskera,20,SI,Pais Vasco,abril,NA,Presencial
Peon-a forestal (informador-a micológico-a) (empleo público),27,SI,Aragon,abril,Otros,Presencial
Entrenador-a lucha libre,27,SI,Pais Vasco,abril,Otros,Presencial
Formador-a para curso auxiliar de eventos,27,SI,Extremadura,abril,Otros,Presencial
"Recepcionistas-telefonistas en oficinas, en general",16,SI,Andalucia,abril,FP/Bachiller,Presencial
Charcuteros-as zona centro de asturias- 3 puestos (ref. 2279),27,SI,Asturias,abril,Otros,Presencial
Oficial electricista,27,SI,Madrid,abril,Otros,Presencial
Formadores de formación para el empleo,35,SI,Canarias,abril,Doctorado,Presencial
"Conductores de furgoneta, hasta 3,5 t.",27,SI,Andalucia,abril,Otros,Presencial
Terapeutas ocupacionales,27,SI,Andalucia,abril,Otros,Presencial
"Fisioterapeutas, en general",27,SI,Andalucia,abril,Otros,Presencial
Albañil oficial 1ª,27,SI,Aragon,abril,Otros,Presencial
Profesor matemáticas educación secundaria,27,SI,Castilla Leon,abril,Otros,Presencial
Peón de servicios múltiples (empleo público),27,SI,Aragon,abril,Otros,Presencial
Albañiles of. 1ª (cid).,27,SI,Aragon,abril,Otros,Presencial
"Cuidadores de personas con discapacidad y-o dependencia, en instituciones",27,SI,Castilla Leon,abril,Otros,Presencial
"Auxiliar administrativo de gestoría. contrato indefinido, jornada parcial de 25 horas a la semana.",27,SI,Madrid,abril,Otros,Presencial
Operador de grúa torre,27,SI,Castilla Leon,abril,Otros,Presencial
Administrativo-a,27,SI,Pais Vasco,abril,Otros,Presencial
"Carpinteros de aluminio, metálico y pvc",16,SI,Andalucia,abril,FP/Bachiller,Presencial
Delineante (ett),27,SI,Aragon,abril,Otros,Presencial
Ayudante de camarero-a (ref: 2278),27,SI,Asturias,abril,Otros,Presencial
Work-location,27,SI,Cataluna,abril,Otros,Presencial
Educador-a ambiental - balears,32,SI,Baleares,abril,Sin estudios,Presencial
Monitores de mantenimiento físico,21,SI,Canarias,abril,Universidad,Presencial
"Programador frontend angular, presencial",24,SI,Castilla la Mancha,abril,Sin estudios,Presencial
Encargada-o de limpieza,21,SI,Navarra,abril,Universidad,Presencial
Cocinero-a - palladium hotel palmyra,32,SI,Baleares,abril,Sin estudios,Presencial
Ayudante de pastelería y panadería( ref: 04 2025 001004),27,SI,Baleares,abril,Otros,Presencial
Auxiliar servicio limpieza (asl). (27h) (zona la sagrera) ref sxsdl,19,SI,Cataluna,abril,Básico,Presencial
Logopeda en atención temprana,21,SI,Navarra,abril,Universidad,Presencial
Educador-a ambiental - balears,32,SI,Baleares,abril,Sin estudios,Presencial
"Jefe-a de proyecto de software, 100% en remoto",40,SI,NA,abril,Doctorado,Remoto
Ingeniero-a de diseño,27,SI,Navarra,abril,Otros,Presencial
Educador-a ambiental - balears,32,SI,Baleares,abril,Sin estudios,Presencial
Educador-a ambiental - balears,32,SI,Baleares,abril,Sin estudios,Presencial
Cuidador-a de mujeres con discapacidad (turno fines de semana),21,SI,Navarra,abril,Universidad,Presencial
Carpintero-montador muebeles madera,27,SI,Aragon,abril,Otros,Presencial
Educador-a ambiental - balears,32,SI,Baleares,abril,Sin estudios,Presencial
Trabajador-a social,27,SI,Extremadura,abril,Otros,Presencial
"Responsable servicio workplace, hibrido",21,SI,Cataluna,abril,Universidad,Híbrido
Comercial,16,SI,Navarra,abril,FP/Bachiller,Presencial
Técnico-a de compras (contrata ett),21,SI,Cataluna,abril,Universidad,Presencial
Encargado-a de obras,27,SI,Extremadura,abril,Otros,Presencial
Cuidador-a - monitor-a,21,SI,Navarra,abril,Universidad,Presencial
Educador-a ambiental - balears,32,SI,Baleares,abril,Sin estudios,Presencial
Administrativo-a - comercial,32,SI,Navarra,abril,Sin estudios,Presencial
Camarero-a,27,SI,Extremadura,abril,Otros,Presencial
Personal atención telefónica,16,SI,Comunidad Valenciana,abril,Universidad,Presencial
Técnico hardware y software,16,SI,Navarra,abril,FP/Bachiller,Presencial
"Técnico-a de i+d ""ayudas para la contratación del personal investigador y tecnológico”",16,SI,Navarra,abril,FP/Bachiller,Presencial
Auxiliar de enfermería en centro salud mental,21,SI,Navarra,abril,Universidad,Presencial
Auxiliar educativo-a,21,SI,Navarra,abril,Universidad,Presencial
"Desarrollador-a python, 100% en remoto",27,SI,NA,abril,Otros,Remoto
Comercial de ventas b2b fijo+comisiones sin techo,19,SI,Canarias,abril,Básico,Presencial
Personal técnico en experimentación. no clicar botón inscribirse. hacerlo a través web cpen.,21,SI,Navarra,abril,Universidad,Presencial
"Consultor-a de producto - sap-po, 100% en remoto",46,SI,NA,abril,Sin estudios,Remoto
Técnico-a de laboratorio (contrata ett),32,SI,Cataluna,abril,Sin estudios,Presencial
Montador-a ajustador-a de componentes mecánicos (ref. 1918),27,SI,Asturias,abril,Otros,Presencial
Coordinador-a equipo de ventas - call center,19,SI,Cataluna,abril,Básico,Presencial
Empleado-a del hogar (ref. 04 2025 001591),27,SI,Baleares,abril,Otros,Presencial
Cocinero-a colectividades ref. sccnr,32,SI,Madrid,abril,Sin estudios,Presencial
Operario-a de lavandería industrial,27,SI,Madrid,abril,Otros,Presencial
Mozo-a y administrativo-a de almacén en martorell,16,SI,Cataluna,abril,Universidad,Presencial
Tornero-a cnc (ref. 1913),27,SI,Asturias,abril,Otros,Presencial
Oferta pública: auxiliar de cocina.,21,SI,Andalucia,abril,Universidad,Presencial
Oferta privada: peón de mantenimiento.,14,SI,Andalucia,abril,Universidad,Presencial
Auxiliar administrativo-a departamento de recursos humanos,16,SI,Comunidad Valenciana,abril,NA,Presencial
Due-enfermera-o para residencia de mayores,18,SI,Andalucia,abril,Universidad,Presencial
Oferta publica: tecnico-a a2 uca,33,SI,Andalucia,abril,Universidad,Presencial
Oferta pública: técnico-a en educación infantil para centro de educación infantil - 1 puesto -…,14,SI,Andalucia,abril,NA,Presencial
Jefe-a de sección comercial,34,SI,Andalucia,abril,Otros,Presencial
Oferta pública: médico-a (grupo a1) laboral temporal por sustitución,40,SI,Andalucia,abril,Universidad,Presencial
Restaurador-a ( vi convenio personal laboral junta de andalucia) conservadores de museos y galerías…,34,SI,Andalucia,abril,NA,Presencial
Oferta pública: personal limpieza edificios públicos - 1 puesto - duracíón estimada 90 días -…,11,SI,Andalucia,abril,Universidad,Presencial
Terapeuta ocupacional,15,SI,Andalucia,abril,Universidad,Presencial
Terapeuta ocupacional,9,SI,Andalucia,abril,Universidad,Presencial
Fisioterapeuta para residencia de mayores,10,SI,Andalucia,abril,Otros,Presencial
"Oferta pública: docente programa de empleo y formación. certificado de profesionalidad ""actividades…",18,SI,Andalucia,abril,Universidad,Presencial
Responsable de proyecto,27,SI,Comunidad Valenciana,abril,NA,Presencial
Enfermero-a,32,SI,Andalucia,abril,Universidad,Presencial
Limpiador-a. ref slmpd,19,SI,Comunidad Valenciana,abril,Básico,Presencial
"Desarrollador-a powerapps, hibrido",30,SI,Andalucia,abril,Otros,Híbrido
"Adobe aep, zaragoza",27,SI,Aragon,abril,Otros,Presencial
